id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T02:00:00Z,PM2.5,13,44,27,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T02:00:00Z,PM10,12,74,51,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T02:00:00Z,NO2,4,28,13,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T02:00:00Z,NH3,2,5,3,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T02:00:00Z,SO2,6,13,9,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T02:00:00Z,CO,12,52,25,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T02:00:00Z,OZONE,27,66,52,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T02:00:00Z,PM2.5,8,53,25,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T02:00:00Z,PM10,11,88,36,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T02:00:00Z,NO2,8,81,22,NA
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T02:00:00Z,NH3,2,5,3,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T02:00:00Z,SO2,4,13,8,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T02:00:00Z,CO,17,117,52,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T02:00:00Z,OZONE,32,74,57,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T02:00:00Z,PM2.5,6,29,20,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T02:00:00Z,PM10,22,77,57,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T02:00:00Z,NO2,13,56,32,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T02:00:00Z,NH3,1,2,1,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T02:00:00Z,SO2,2,7,3,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T02:00:00Z,CO,7,29,15,NA
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T02:00:00Z,OZONE,11,23,17,NA
22,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T02:00:00Z,PM2.5,15,70,35,NA
23,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T02:00:00Z,PM10,12,85,52,NA
24,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T02:00:00Z,NO2,9,10,10,NA
25,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T02:00:00Z,NH3,2,2,2,NA
26,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T02:00:00Z,SO2,11,24,14,NA
27,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T02:00:00Z,CO,8,82,40,NA
28,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T02:00:00Z,OZONE,13,14,14,NA
29,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T02:00:00Z,PM2.5,25,84,56,NA
30,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T02:00:00Z,PM10,44,140,100,NA
31,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T02:00:00Z,NO2,20,72,49,NA
32,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T02:00:00Z,NH3,2,5,2,NA
33,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T02:00:00Z,SO2,15,33,22,NA
34,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T02:00:00Z,CO,2,46,30,NA
35,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T02:00:00Z,OZONE,3,33,11,NA
36,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2018-06-28T02:00:00Z,PM2.5,10,304,87,NA
37,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2018-06-28T02:00:00Z,NO2,27,59,43,NA
38,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2018-06-28T02:00:00Z,SO2,15,19,18,NA
39,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2018-06-28T02:00:00Z,CO,47,94,69,NA
40,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2018-06-28T02:00:00Z,OZONE,30,47,37,NA
41,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB",2018-06-28T02:00:00Z,PM2.5,16,76,43,NA
42,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB",2018-06-28T02:00:00Z,NO2,50,77,60,NA
43,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB",2018-06-28T02:00:00Z,SO2,64,118,100,NA
44,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB",2018-06-28T02:00:00Z,CO,20,43,28,NA
45,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB",2018-06-28T02:00:00Z,OZONE,58,130,82,NA
46,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2018-06-28T02:00:00Z,PM2.5,18,208,88,NA
47,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2018-06-28T02:00:00Z,NO2,2,164,84,NA
48,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2018-06-28T02:00:00Z,SO2,30,106,48,NA
49,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2018-06-28T02:00:00Z,CO,1,89,47,NA
50,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2018-06-28T02:00:00Z,OZONE,31,122,45,NA
51,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T02:00:00Z,PM2.5,4,75,31,NA
52,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T02:00:00Z,PM10,13,105,48,NA
53,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T02:00:00Z,NO2,14,31,22,NA
54,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T02:00:00Z,NH3,8,13,10,NA
55,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T02:00:00Z,SO2,2,68,12,NA
56,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T02:00:00Z,CO,20,40,29,NA
57,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T02:00:00Z,OZONE,19,108,52,NA
58,India,Delhi,Delhi,"Aya Nagar, New Delhi - IMD",2018-06-28T02:00:00Z,PM2.5,2,175,82,NA
59,India,Delhi,Delhi,"Aya Nagar, New Delhi - IMD",2018-06-28T02:00:00Z,PM10,2,136,73,NA
60,India,Delhi,Delhi,"Aya Nagar, New Delhi - IMD",2018-06-28T02:00:00Z,NO2,32,60,38,NA
61,India,Delhi,Delhi,"Aya Nagar, New Delhi - IMD",2018-06-28T02:00:00Z,CO,26,134,108,NA
62,India,Delhi,Delhi,"Aya Nagar, New Delhi - IMD",2018-06-28T02:00:00Z,OZONE,30,74,48,NA
63,India,Delhi,Delhi,"CRRI Mathura Road, New Delhi - IMD",2018-06-28T02:00:00Z,PM2.5,2,396,63,NA
64,India,Delhi,Delhi,"CRRI Mathura Road, New Delhi - IMD",2018-06-28T02:00:00Z,PM10,9,126,66,NA
65,India,Delhi,Delhi,"CRRI Mathura Road, New Delhi - IMD",2018-06-28T02:00:00Z,NO2,29,34,32,NA
66,India,Delhi,Delhi,"CRRI Mathura Road, New Delhi - IMD",2018-06-28T02:00:00Z,CO,16,93,57,NA
67,India,Delhi,Delhi,"CRRI Mathura Road, New Delhi - IMD",2018-06-28T02:00:00Z,OZONE,31,59,39,NA
68,India,Delhi,Delhi,"DTU, New Delhi - CPCB",2018-06-28T02:00:00Z,PM2.5,17,195,82,NA
69,India,Delhi,Delhi,"DTU, New Delhi - CPCB",2018-06-28T02:00:00Z,PM10,28,178,98,NA
70,India,Delhi,Delhi,"DTU, New Delhi - CPCB",2018-06-28T02:00:00Z,NO2,32,38,34,NA
71,India,Delhi,Delhi,"DTU, New Delhi - CPCB",2018-06-28T02:00:00Z,NH3,1,3,1,NA
72,India,Delhi,Delhi,"DTU, New Delhi - CPCB",2018-06-28T02:00:00Z,CO,19,36,21,NA
73,India,Delhi,Delhi,"DTU, New Delhi - CPCB",2018-06-28T02:00:00Z,OZONE,5,39,27,NA
74,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2018-06-28T02:00:00Z,PM2.5,2,50,20,NA
75,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2018-06-28T02:00:00Z,PM10,1,44,13,NA
76,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2018-06-28T02:00:00Z,NO2,13,53,29,NA
77,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2018-06-28T02:00:00Z,NH3,6,14,9,NA
78,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2018-06-28T02:00:00Z,SO2,6,31,17,NA
79,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2018-06-28T02:00:00Z,CO,28,58,42,NA
80,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2018-06-28T02:00:00Z,OZONE,23,150,72,NA
81,India,Delhi,Delhi,"IGI Airport (T3), New Delhi - IMD",2018-06-28T02:00:00Z,PM2.5,3,122,49,NA
82,India,Delhi,Delhi,"IGI Airport (T3), New Delhi - IMD",2018-06-28T02:00:00Z,PM10,1,179,81,NA
83,India,Delhi,Delhi,"IGI Airport (T3), New Delhi - IMD",2018-06-28T02:00:00Z,NO2,18,20,19,NA
84,India,Delhi,Delhi,"IGI Airport (T3), New Delhi - IMD",2018-06-28T02:00:00Z,CO,36,91,73,NA
85,India,Delhi,Delhi,"IGI Airport (T3), New Delhi - IMD",2018-06-28T02:00:00Z,OZONE,21,69,32,NA
86,India,Delhi,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB",2018-06-28T02:00:00Z,PM2.5,54,302,127,NA
87,India,Delhi,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB",2018-06-28T02:00:00Z,NO2,25,49,36,NA
88,India,Delhi,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB",2018-06-28T02:00:00Z,NH3,8,22,12,NA
89,India,Delhi,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB",2018-06-28T02:00:00Z,SO2,1,24,15,NA
90,India,Delhi,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB",2018-06-28T02:00:00Z,CO,12,105,56,NA
91,India,Delhi,Delhi,"ITO, New Delhi - CPCB",2018-06-28T02:00:00Z,PM2.5,28,500,232,NA
92,India,Delhi,Delhi,"ITO, New Delhi - CPCB",2018-06-28T02:00:00Z,PM10,52,457,172,NA
