id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-27T08:00:00Z,PM2.5,19,44,28,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-27T08:00:00Z,PM10,31,81,55,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-27T08:00:00Z,NO2,6,35,14,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-27T08:00:00Z,NH3,2,5,3,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-27T08:00:00Z,SO2,7,14,10,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-27T08:00:00Z,CO,8,52,31,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-27T08:00:00Z,OZONE,27,56,50,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-27T08:00:00Z,PM2.5,11,69,29,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-27T08:00:00Z,PM10,16,103,44,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-27T08:00:00Z,NO2,11,81,24,NA
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-27T08:00:00Z,NH3,2,5,3,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-27T08:00:00Z,SO2,1,17,8,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-27T08:00:00Z,CO,29,117,47,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-27T08:00:00Z,OZONE,19,74,59,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-27T08:00:00Z,PM2.5,12,36,23,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-27T08:00:00Z,PM10,56,77,66,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-27T08:00:00Z,NO2,11,56,30,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-27T08:00:00Z,NH3,1,2,1,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-27T08:00:00Z,SO2,2,4,3,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-27T08:00:00Z,CO,7,29,25,NA
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-27T08:00:00Z,OZONE,11,20,16,NA
22,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-27T08:00:00Z,PM2.5,15,42,30,NA
23,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-27T08:00:00Z,PM10,23,73,54,NA
24,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-27T08:00:00Z,NO2,9,10,10,NA
25,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-27T08:00:00Z,NH3,2,2,2,NA
26,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-27T08:00:00Z,SO2,11,24,13,NA
27,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-27T08:00:00Z,CO,8,56,30,NA
28,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-27T08:00:00Z,OZONE,14,14,14,NA
29,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-27T08:00:00Z,PM2.5,25,75,53,NA
